title,author,date,publication_type,rejection_reason
100 BULLETS,Brian Azzarello and Eduardo Risso,,,"Title 15, Section 3006(c)(17) – frontal nudity"
100 DEADLY SKILLS,Clint Emerson,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"100 DEADLY SKILLS, SURVIVAL EDITION",,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
100 JAPANESE TATTOO DESIGNS PART II,Horimouja,,,"Title 15, Section 3006(c)(17) – frontal nudity"
100 NO EQUIPMENT WORKOUTS,Neila Rey,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
100 UK GRAFFITI ARTISTS,Frank Malt,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
1000 TATTOOS,Carlton Books,,,"Title 15, Section 3006(c)(17) – frontal nudity"
1000 TATTOOS,Henk Schiffmacher,,,"Title 15, Section 3006(c)(17) – frontal nudity"
1000 TATTOOS (2018),Chris Coppola,,,"Title 15, Section 3006(c)(16) – sexually explicit images"
1001 MOVIES YOU MUST SEE BEFORE YOU DIE,Jason Solomons and Steven Jay Scheider,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
101 SKILLS YOU NEED TO SURVIVE IN THE WOODS,Kevin Estela,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
101 THINGS NO ONE SHOULD KNOW HOW TO DO; FORBIDDEN KNOWLEDGE,Owen Books,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"101 THINGS NOT EVERYONE SHOULD KNOW HOW TO DO, FORBIDDEN KNOWLEDGE",Michael Powell,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
111 MILLENNIUM,Luis Royo,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"12 DIRTY DEEDS TO UNITE THE PRINCESS AND HER HEROINE, VOL. 1 (2025)",Moridam,,,"Title 15, Section 3006(c)(16) – sexually explicit images"
1666 REDEMPTION THROUGH SIN,Robert Sepehr,,,"Title 15, Section 3006(c)(17) – frontal nudity"
18 EIGHTEEN MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
18+ VOLUME #61,,,,"Title 15, Section 3006(c)(16) – sexually explicit images"
1922 (2019),Stephen King,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
1980’S GLAMOUR: 20TH CENTURY PIN- UPS,Ian Penberthy,,,"Title 15, Section 3006(c)(17) – frontal nudity"
200 UNCENSORED SEX ACTS MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"2021 ROAD ATLAS, AMERICA’S #1 ROAD ATLAS (2021)",Rand McNally,,,"Title 15, Section 3006(c)(12) – maps depicting area within ten miles radius of facility"
"2600 THE HACKER QUARTERLY, AUTUMN 2016 ISSUE",,,periodical,"Title 15, Section 3006(c)(9) – illustrations, explanations, and/or descriptions of how to sabotage or disrupt computers, communications, or electronics"
"2NV MAGAZINE, COVER MODEL LANA",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
2PAC VS. BIGGIE,Jeff Weiss/Evan McGavery,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
3 STRIKES (2014),Crucifix,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
30 SOMETHING MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
300 UNCENSORED SEX ACTS MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
300: THE ART OF THE FILM,F,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"365 SEX POSITIONS, A NEW WAY EVERY DAY FOR A STEAMY, EROTIC YEAR",Lisa Sweet,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"37 LAWS OF SEDUCTION, THE POSITIVE ART AND SCIENCE OF GETTING WHAT YOU WANT (2025)",Drake White,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
"4 THE PACK ENTERTAINMENT, RAMDOM 1, 2 AND PS EBONY 1",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
4 THE PACK ENTERTAIMENT PS MIX 6,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
4 THE PACK ENTERTAINMENT,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
4 THE PACK ENTERTAINMENT KIERA 1,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
4 THE PACK ENTERTAINMENT KIERA 2,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"4 THE PACK ENTERTAINMENT PRESENT, NUDE 1,2,3",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
