row,title,author,date,publication_type,rejection_reason,pdf_page,parent_bullet
1,The Thug Passion Series: Thug Passion 1,Mz. Lady p,2025,book,,1,•   The Thug Passion Series by Mz. Lady p
2,The Thug Passion Series: Thug Passion 2,Mz. Lady p,2025,book,,1,•   The Thug Passion Series by Mz. Lady p
3,The Thug Passion Series: Thug Passion 3,Mz. Lady p,2025,book,,1,•   The Thug Passion Series by Mz. Lady p
4,The Thug Passion Series: Thug Passion 4,Mz. Lady p,2025,book,,1,•   The Thug Passion Series by Mz. Lady p
5,No Holes a Dual Manifesto of Sexual Exploration and Power Barred,"Mandii B, WeezyWTF",2025,book,,1,
6,The King Series: The Dark Light of Day,TM Frazier,2025,book,,1,•   The King Series: TM Frazier
7,The King Series: King of the Causeway,TM Frazier,2025,book,,1,•   The King Series: TM Frazier
8,The King Series: King,TM Frazier,2025,book,,1,•   The King Series: TM Frazier
9,The King Series: Tyrant,TM Frazier,2025,book,,1,•   The King Series: TM Frazier
10,The King Series: Lawless,TM Frazier,2025,book,,1,•   The King Series: TM Frazier
11,The King Series: Soulless,TM Frazier,2025,book,,1,•   The King Series: TM Frazier
12,The King Series: Preppy: The Life and Death of Samuel Clearwater,TM Frazier,2025,book,,1,•   The King Series: TM Frazier
13,The King Series: Preppy Part Two: The Life and Death of Samuel Clearwater,TM Frazier,2025,book,,1,•   The King Series: TM Frazier
14,"The King Series: Preppy, Part Three: The Life and Death of Samuel Clearwater",TM Frazier,2025,book,,1,•   The King Series: TM Frazier
15,Bloodline of a Savage 1,Prince A. Tauhid,2025,book,,1,
16,"Bloodline of a Savage 2, Revelations",Prince A. Tauhid,2025,book,,1,
17,"Bloodline of a Savage 3, Wrath",Prince A. Tauhid,2025,book,,1,
18,The Big Book of Conspiracies,Tim Rayborn,2025,book,,1,
19,"Ku Klux Terror: Birmingham, AL 1866 – Present",Michael Newton,2025,book,,1,
20,White Robes and Broken Badges – Infiltrating the KKK and Exposing the Evil Among Us,Joe Moore,2025,book,,1,
21,Why Do Men…?,R.I. Richardsun (pen name),2025,book,,1,
22,Thirty-Two,Ronald Russell,2025,book,,1,
23,The Gideon Series: Sleeping with Strangers,Eric Jerome Dickey,2025,book,,1,• The Gideon Series: Eric Jerome Dickey
24,The Gideon Series: Waking with Enemies,Eric Jerome Dickey,2025,book,,1,• The Gideon Series: Eric Jerome Dickey
25,The Gideon Series: Dying for Revenge,Eric Jerome Dickey,2025,book,,1,• The Gideon Series: Eric Jerome Dickey
26,The Gideon Series: Resurrecting Midnight,Eric Jerome Dickey,2025,book,,1,• The Gideon Series: Eric Jerome Dickey
27,The Gideon Series: Finding Gideon,Eric Jerome Dickey,2025,book,,1,• The Gideon Series: Eric Jerome Dickey
28,A Wanted Woman,Eric Jerome Dickey,2025,book,,1,
29,Bad Men and Wicked Women,Eric Jerome Dickey,2025,book,,1,
30,Tempted by Trouble,Eric Jerome Dickey,2025,book,,1,
31,The 33 Strategies of War,Robert Greene,2025,book,,1,
32,The Blood Saga Book2 Blood &Betrayal,Avery Brown,2025,book,,1,
33,Hoe Bible Old Testament,Delana Young,2025,book,,2,
34,The Prada Plan,Ashley Antoinette,2025,book,,2,
35,The Prada Plan2 Leah's Story,Ashley Antoinette,2025,book,,2,
36,The Coldest Winter Ever,Sister Souljah,2025,book,,2,
37,Pimpology: The 48 Laws of the Game (A Relationship Guide)” by Pimpin Ken and karen Hunter Published,Pimpin Ken and karen Hunter,2025,book,,2,
38,Berserk Volume 1,Kenatro Miura and Jason DeAngelis,2025,book,,2,
39,Berserk Volume 2,Kenatro Miura and Jason DeAngelis,2025,book,,2,
