row,pdf_page,source_text
1,1,"100 BULLETS           Brian Azzarello and                              Title 15, Section
                      Eduardo Risso                                    3006(c)(17) – frontal
                                                                       nudity"
2,1,"100 DEADLY SKILLS     Clint Emerson         Touchstone                 Title 15, Section
                                                                       3006(d) – presents a
                                                                       serious threat to facility
                                                                       security or the safety of
                                                                       incarcerated persons
                                                                       and staff"
3,1,"100 DEADLY SKILLS,                          Clint Emerson              Title 15, Section
SURVIVAL EDITION                                                       3006(d) – presents a
                                                                       serious threat to facility
                                                                       security or the safety of
                                                                       incarcerated persons
                                                                       and staff"
4,1,"100 JAPANESE          Horimouja             Zhuxugun                   Title 15, Section
TATTOO DESIGNS                                                         3006(c)(17) – frontal
PART II                                                                nudity"
5,1,"100 NO EQUIPMENT      Neila Rey             New Line Publishing,       Title 15, Section
WORKOUTS                                    Inc.                       3006(c)(1) – violence
                                                                       or physical harm"
6,1,"100 UK GRAFFITI       Frank Malt            Schiffer Publishing Ltd.   Title 15, Section
ARTISTS                                                                3006(c)(15)(A) – lacks
                                                                       serious literary, artistic,
                                                                       political or scientiﬁc
                                                                       value"
7,1,"1000 TATTOOS          Carlton Books         Carlton Books              Title 15, Section
                                                                       3006(c)(17) – frontal
                                                                       nudity"
8,1,"1000 TATTOOS          Henk Schiffmacher     Taschen                    Title 15, Section
                                                                       3006(c)(17) – frontal
                                                                       nudity"
9,1,"1000 TATTOOS (2018)   Chris Coppola         Universe                   Title 15, Section
                                                                       3006(c)(16) – sexually
                                                                       explicit images"
10,1,"1001 MOVIES YOU       Jason Solomons and    Quintessence               Title 15, Section
MUST SEE BEFORE       Steven Jay Scheider                              3006(c)(1) – violence
YOU DIE                                                                or physical harm"
11,1,"101 SKILLS YOU NEED   Kevin Estela                                     Title 15, Section
TO SURVIVE IN THE                                                      3006(d) – presents a
WOODS                                                                  serious threat to facility
                                                                       security or the safety of
                                                                       incarcerated persons
                                                                       and staff"
12,1,"101 THINGS NO ONE     Owen Books            Adams Media                Title 15, Section
SHOULD KNOW HOW                                                        3006(d) – presents a
TO DO; FORBIDDEN                                                       serious threat to facility
KNOWLEDGE                                                              security or the safety of
                                                                       incarcerated persons
                                                                       and staff"
13,1,"101 THINGS NOT        Michael Powell        Adams                      Title 15, Section
EVERYONE SHOULD                                                        3006(d) – presents a
KNOW HOW TO DO,                                                        serious threat to facility
FORBIDDEN                                                              security or the safety of
KNOWLEDGE                                                              incarcerated persons
                                                                       and staff"
14,1,"111 MILLENNIUM        Luis Royo             NBM Publishing             Title 15, Section
                                                                       3006(c)(17) – frontal
                                                                       nudity"
15,1,"12 DIRTY DEEDS TO     Moridam               Seven Seas                 Title 15, Section
UNITE THE PRINCESS                          Entertainment, Inc.        3006(c)(16) – sexually
AND HER HEROINE,                                                       explicit images
VOL. 1 (2025)"
16,1,"1666 REDEMPTION       Robert Sepehr                                    Title 15, Section
THROUGH SIN                                                            3006(c)(17) – frontal
                                                                       nudity"
17,1,"18 EIGHTEEN                                 18 Eighteen                Title 15, Section
MAGAZINE                                                               3006(c)(17) – frontal
                                                                       nudity"
18,1,"18+ VOLUME #61                              18+ Magazine               Title 15, Section
                                                                       3006(c)(16) – sexually
                                                                       explicit images"
19,2,"1922 (2019)            Stephen King      Stephen King          Title 15, Section
                                                               3006(c)(1) – violence
                                                               or physical harm"
20,2,"1980’S GLAMOUR:        Ian Penberthy     Ammonite Press        Title 15, Section
20TH CENTURY PIN-                        Publishing            3006(c)(17) – frontal
UPS                                                            nudity"
21,2,"200 UNCENSORED SEX                       Magna Publishing      Title 15, Section
ACTS MAGAZINE                            Group                 3006(c)(17) – frontal
                                                               nudity"
22,2,"2021 ROAD ATLAS,       Rand McNally      Rand McNally          Title 15, Section
AMERICA’S #1 ROAD                        Publishing            3006(c)(12) – maps
ATLAS (2021)                                                   depicting area within
                                                               ten miles radius of
                                                               facility"
23,2,"2600 THE HACKER                          WWW.2600 .COM         Title 15, Section
QUARTERLY, AUTUMN                                              3006(c)(9) –
2016 ISSUE                                                     illustrations,
                                                               explanations, and/or
                                                               descriptions of how to
                                                               sabotage or disrupt
                                                               computers,
                                                               communications, or
                                                               electronics"
24,2,"2NV MAGAZINE,                            Maycloud              Title 15, Section
COVER MODEL LANA                                               3006(c)(15)(A) – lacks
                                                               serious literary, artistic,
                                                               political or scientiﬁc
                                                               value"
25,2,"2PAC VS. BIGGIE        Jeff Weiss/Evan                         Title 15, Section
                       McGavery                                3006(c)(15)(A) – lacks
                                                               serious literary, artistic,
                                                               political or scientiﬁc
                                                               value"
26,2,"3 STRIKES (2014)       Cruciﬁx           Celebrity Spotlight   Title 15, Section
                                         Entertainment, LLC    3006(c)(1) – violence
                                                               or physical harm"
27,2,"30 SOMETHING                             30somethingmag.com    Title 15, Section
MAGAZINE                                                       3006(c)(17) – frontal
                                                               nudity"
28,2,"300 UNCENSORED SEX                       Magna Publishing      Title 15, Section
ACTS MAGAZINE                            Group                 3006(c)(17) – frontal
                                                               nudity"
29,2,"300: THE ART OF THE    F                 Dark Horse Books      Title 15, Section
FILM                                                           3006(c)(17) – frontal
                                                               nudity"
30,2,"365 SEX POSITIONS, A   Lisa Sweet        Amorata Press         Title 15, Section
NEW WAY EVERY DAY                                              3006(c)(17) – frontal
FOR A STEAMY,                                                  nudity
EROTIC YEAR"
31,2,"37 LAWS OF             Drake White       Independently         Title 15, Section
SEDUCTION, THE                           Published             3006(d) – presents a
POSITIVE ART AND                                               serious threat to facility
SCIENCE OF GETTING                                             security or the safety of
WHAT YOU WANT                                                  incarcerated
(2025)"
32,2,"4 THE PACK                               4 The Pack            Title 15, Section
ENTERTAINMENT,                           Entertainment         3006(c)(17) – frontal
RAMDOM 1, 2 AND PS                                             nudity
EBONY 1"
33,2,"4 THE PACK                               4 The Pack            Title 15, Section
ENTERTAIMENT PS                          Entertainment         3006(c)(15)(A) – lacks
MIX 6                                                          serious literary, artistic,
                                                               political or scientiﬁc
                                                               value"
34,2,"4 THE PACK                               4 The Pack            Title 15, Section
ENTERTAINMENT                            Entertainment         3006(c)(15)(A) – lacks
                                                               serious literary, artistic,
                                                               political or scientiﬁc
                                                               value"
35,2,"4 THE PACK                               4 The Pack            Title 15, Section
ENTERTAINMENT                            Entertainment         3006(c)(15)(A) – lacks
KIERA 1                                                        serious literary, artistic,
                                                               political or scientiﬁc
                                                               value"
36,2,"4 THE PACK                               4 The Pack            Title 15, Section"
37,2,"ENTERTAINMENT                            Entertainment         3006(c)(15)(A) – lacks
KIERA 2                                                        serious literary, artistic,
                                                               political or scientiﬁc
                                                               value"
38,2,"4 THE PACK                               4 The Pack            Title 15, Section
ENTERTAINMENT                            Entertainment         3006(c)(17) – frontal
PRESENT, NUDE 1,2,3                                            nudity"
39,2,"4 THE PACK                               4 The Pack            Title 15, Section
ENTERTAINMENT         Entertainment   3006(c)(15)(A) – lacks
PRESENT, PS SCENES                    serious literary, artistic,
1, BRITTANYA1,2, PS                   political or scientiﬁc
RANDOM 5,6, PS MIX                    value
5,7, PS JYNY 2"
40,3,"4 THE PACK            4 The Pack      Title 15, Section
ENTERTAINMENT         Entertainment   3006(c)(15)(A) – lacks
PRESENTS, BRAZILIAN                   serious literary, artistic,
1                                     political or scientiﬁc
                                      value"
41,3,"4 THE PACK            4 The Pack      Title 15, Section
ENTERTAINMENT         Entertainment   3006(c)(15)(A) – lacks
PRESENTS, CAMELTOE                    serious literary, artistic,
3                                     political or scientiﬁc
                                      value"
42,3,"4 THE PACK            4 The Pack      Title 15, Section
ENTERTAINMENT         Entertainment   3006(c)(15)(A) – lacks
PRESENTS, CUSTOM                      serious literary, artistic,
10                                    political or scientiﬁc
                                      value"
43,3,"4 THE PACK            4 The Pack      Title 15, Section
ENTERTAINMENT         Entertainment   3006(c)(15)(A) – lacks
PRESENTS, CUSTOM                      serious literary, artistic,
11                                    political or scientiﬁc
                                      value"
44,3,"4 THE PACK            4 The Pack      Title 15, Section
ENTERTAINMENT         Entertainment   3006(c)(15)(A) – lacks
PRESENTS, CUSTOM                      serious literary, artistic,
12                                    political or scientiﬁc
                                      value"
45,3,"4 THE PACK            4 The Pack      Title 15, Section
ENTERTAINMENT         Entertainment   3006(c)(15)(A) – lacks
PRESENTS, CUSTOM                      serious literary, artistic,
13                                    political or scientiﬁc
                                      value"
46,3,"4 THE PACK            4 The Pack      Title 15, Section
ENTERTAINMENT         Entertainment   3006(c)(15)(A) – lacks
PRESENTS, CUSTOM                      serious literary, artistic,
14                                    political or scientiﬁc
                                      value"
47,3,"4 THE PACK            4 The Pack      Title 15, Section
ENTERTAINMENT         Entertainment   3006(c)(15)(A) – lacks
PRESENTS, CUSTOM 2                    serious literary, artistic,
                                      political or scientiﬁc
                                      value"
