row,pdf_page,source_text,parent_bullet
1,1,"o Thug Passion 1, June 18, 2020",•   The Thug Passion Series by Mz. Lady p
2,1,"o Thug Passion 2, July 9, 2020",•   The Thug Passion Series by Mz. Lady p
3,1,"o Thug Passion 3, July 9, 2020",•   The Thug Passion Series by Mz. Lady p
4,1,"o Thug Passion 4, July 9, 2020",•   The Thug Passion Series by Mz. Lady p
5,1,"•   No Holes a Dual Manifesto of Sexual Exploration and Power Barred by Mandii B, WeezyWTF, June 24, 2025",
6,1,"o The Dark Light of Day, October 15, 2017",•   The King Series: TM Frazier
7,1,"o King of the Causeway, January 9, 2020",•   The King Series: TM Frazier
8,1,"o King, June 17, 2015",•   The King Series: TM Frazier
9,1,"o Tyrant, August 14, 2015",•   The King Series: TM Frazier
10,1,"o Lawless, October 13, 2017",•   The King Series: TM Frazier
11,1,"o Soulless, February 17, 2016",•   The King Series: TM Frazier
12,1,"o Preppy: The Life and Death of Samuel Clearwater, October 14, 2017",•   The King Series: TM Frazier
13,1,"o Preppy Part Two: The Life and Death of Samuel Clearwater, October 14, 2017",•   The King Series: TM Frazier
14,1,"o Preppy, Part Three: The Life and Death of Samuel Clearwater, October 14, 2017",•   The King Series: TM Frazier
15,1,"• Bloodline of a Savage 1, by Prince A. Tauhid, August 10, 2023",
16,1,"• Bloodline of a Savage 2, Revelations, by Prince A. Tauhid, January 19, 2024",
17,1,"• Bloodline of a Savage 3, Wrath, by Prince A. Tauhid, July 23, 2024",
18,1,"• The Big Book of Conspiracies by Tim Rayborn, July 9, 2024",
19,1,"• Ku Klux Terror: Birmingham, AL 1866 – Present, by Michael Newton, June 28, 2013",
20,1,"• White Robes and Broken Badges – Infiltrating the KKK and Exposing the Evil Among Us, by Joe Moore, August 13, 2024",
21,1,"• Why Do Men…?, R.I. Richardsun (pen name) October 8, 2024",
22,1,"• Thirty-Two by Ronald Russell, January 10, 2025",
23,1,"o   Sleeping with Strangers, April 10, 2007",• The Gideon Series: Eric Jerome Dickey
